Name,State,Sweep ID,Sweep Label,Model,Repeated,Num Repeats,Rep Budget,Direction,OT Multiplier,Eval Loss,Train Loss (last),Train Loss (avg),Global Step,Epoch,Tokens Seen,Unique Tokens,Train Tok/s,Learning Rate,Duration,Finished,Created,W&B Link
mirror_1i3xaz9q,finished,tjuapg88,"344M nr=[10,50,100]",344M,repeated,50,10%,bot,1,2.9825592041015625,2.8575,3.353892050138972,13669,1,6880466522,13760933.044000002,78723.566,9.343270653398984e-09,N/A,N/A,2026-04-21T22:19:12Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_1i3xaz9q
mirror_6l31vjc4,finished,tjuapg88,"344M nr=[10,50,100]",344M,repeated,100,10%,bot,1,3.0101466178894043,2.7157,3.264545040696325,13655,1,6880525717,6880525.717,78227.864,8.425908097887406e-10,N/A,N/A,2026-04-21T22:21:20Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_6l31vjc4
mirror_wcijp24m,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,99,10%,top,1,,,,,,,,,,N/A,N/A,2026-04-21T22:22:38Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_wcijp24m
driven-sweep-2,finished,wpc5vq1v,"34M nr=[99,373,1388]",34M,repeated,373,10%,top,1,5.0004496574401855,4.716,5.626846848995392,2454,1,681874604,182808.20482573728,49878.014,1.3353793238534328e-08,4h 0m,10d 22h ago,2026-04-21T22:50:41Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/q6og2tro
curious-sweep-21,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,10000,10%,top,0.5,4.418208599090576,3.8709,4.825927898917399,2272,1,643282580,6432.8258,54415.03,3.2628603623980716e-07,3h 34m,10d 22h ago,2026-04-22T00:09:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/7518i96k
mirror_gj9r8wsu,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,719,10%,top,1,,,,,,,,,,N/A,N/A,2026-04-22T00:58:47Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_gj9r8wsu
mirror_h5fb6w6r,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,2682,10%,top,1,,,,,,,,,,N/A,N/A,2026-04-22T02:42:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_h5fb6w6r
blooming-sweep-3,finished,wpc5vq1v,"34M nr=[99,373,1388]",34M,repeated,1388,10%,top,1,5.004497528076172,4.537,5.490290462196647,2464,1,682968548,49205.226801152734,49956.034,1.3245611627888732e-08,4h 0m,10d 18h ago,2026-04-22T02:52:01Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mabe87vi
worldly-sweep-22,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,10000,10%,top,2,3.8831944465637207,3.4782,4.1459935933893375,6600,1,2525582552,25255.825520000002,63221.027,8.772307819002373e-11,11h 41m,10d 10h ago,2026-04-22T03:43:43Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/vg3y1ay7
chocolate-sweep-1,finished,wnj1nf6w,"48M nr=[1,193,10000]",48M,non-repeated,1,10%,top,4,3.917067050933838,3.921,4.490009532255285,8976,1,3840367500,384036750.0,82628.649,2.00659878891904e-10,13h 26m,10d 5h ago,2026-04-22T07:06:19Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/spplmlg9
mirror_bfcvkfbs,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,99,10%,bot,1,,,,,,,,,,N/A,N/A,2026-04-22T07:17:58Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_bfcvkfbs
mirror_nchpjm8y,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,373,10%,bot,1,,,,,,,,,,N/A,N/A,2026-04-22T07:54:15Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_nchpjm8y
mirror_7gxf2tl2,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,719,10%,bot,1,,,,,,,,,,N/A,N/A,2026-04-22T10:28:38Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_7gxf2tl2
mirror_eqr3simu,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,2682,10%,bot,1,,,,,,,,,,N/A,N/A,2026-04-22T13:06:41Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_eqr3simu
mirror_64li574y,finished,7mwuah6x,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T14:02:26Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_64li574y
mirror_dd88y34f,finished,7kq74ia8,"63M nr=[1,193,2682]",63M,non-repeated,1,10%,top,0.25,,,,,,,,,,N/A,N/A,2026-04-22T14:39:56Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_dd88y34f
sweet-sweep-23,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,non-repeated,1,10%,bot,0.5,4.363868236541748,4.3618,5.262268136924421,2272,1,628730551,62873055.1,54018.146,3.2628603623980716e-07,3h 30m,10d 6h ago,2026-04-22T15:25:37Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/l564l5sc
